No.,Item_1,Item_2,Nature,IntendedPurpose_Complimentary,ChannelsOfTrade_RelevantPublic,LevelOfSimilarity
1,1 Chemicals for industrial use,1 Chemical additives for detergents,4 ((1) Chemicals (2) Chemicals additives (2) nằm trong (1)),4 ((1) for industrial use  (2) for detergents (2) nằm trong (1)),4 ((2) nằm trong (1)),4
2,1 Chemical products used in the manufacture of plastics and in the photocopying industry,"1 Plastics in the form of granules, powders, masses, resins, gels, emulsions, dispersions, pastes, flakes, chips",4 ((1) Chemical products used in the manufacture of plastics (2) plastics (2) là Sản phẩm hình thành từ (1)),4 ((1) used in the manufacture of plastics (2) used in the manufacture of plastics (2) trùng (1)),Không cần đánh giá,4
3,1 Polymers,1 Unprocessed plastics,4 ((1) polymers (2) plastics (1) là tên gọi khác của (2)),4 ((1) used in the manufacture of plastics (2) used in the manufacture of plastics),Không cần đánh giá,4
4,2 Paints,19 Construction materials,0 ((1) paints (2) construction materials),3 ((1) Construction (2) Construction),Không cần đánh giá,2
5,3 Cosmetics,1 chemical additives for detergents,0 ((1) Cosmetics (2) chemical additives for detergents),2 ((1) make-up and other relevant purposes (2) manufacture of detergents (1) sometimes can be a kind of detergent (2)),2 (Khác đối tượng người tiêu dùng về (2) for professional public/nhà sản xuất),2
6,3 Cosmetics,"40 Services for the pharmaceutical and cosmetic industry, namely synthesis and preparation of pharmaceutical and cosmetic products",4 ((1) Cosmetics (2) Services for cosmetic industry (1) là đối tượng cung cấp của (2)),4 ((1) make-up and other relevant purposes (2) make-up and other relevant purposes (1) trùng (2)),Không cần đánh giá,4
7,1 Industrial chemicals in the field of washing or food preservation only,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3 ((1) Industrial chemicals in the field of washing or food preservation only (2) Development of preparations for destroying fungicides  (1) có thể là đối tượng nghiên cứu/sản xuất của (2)),3 ((1) for washing or food preservation (2) for destroying fungicides (2) chính là một dạng thực hiện (1)),,3
8,1 Chemical additives in the field of washing or food preservation only,42 Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry,0 (Sản phẩm không phải là đối tượng cung cấp của dịch vụ),0 (Không cùng mục đích),,0
9,1 Chemical substances intended to conserve food,"42 Operating of licencing procedures for pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides",2 (Sản phẩm không phải là đối tượng cung cấp của dịch vụ),2 (Vẫn có khả năng cùng mục đích khi mà chemical substances intended to conserve food cũng cần destroying vermin),Vẫn có khả năng cùng chung đối tượng người tiêu dùng,2
10,1 Chemical substances for preserving foodstuffs,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others","3 ((1) chemical substances for preserving foodstuffs (2) Development of pharmaceutical, including preparations for destroying fungicides (1) có thể là đối tượng nghiên cứu/sản xuất của (2))",3 ((1) for washing or food preservation (2) for destroying fungicides (2) chính là một dạng thực hiện (1)),,3
